ID_LEXEMA 	LiNEA 	COLUMNA 	TOKEN                	LEXEMA
4         	73    	20      	LPAR                 	<|
26        	73    	22      	ID                   	a
6         	73    	23      	COMMA                	,
27        	73    	25      	ID                   	b
8         	73    	26      	RPAR                 	|>
8         	73    	28      	RPAR                 	|>
9         	73    	30      	LBLOCK               	|:
39        	74    	9       	COUT                 	cout
2         	74    	13      	SEPARATOR            	~
4         	74    	14      	LPAR                 	<|
26        	74    	16      	ID                   	a
8         	74    	17      	RPAR                 	|>
12        	74    	19      	EXCLAMATION          	!
13        	75    	5       	RBLOCK               	:|
56        	75    	7       	ELSE                 	else
2         	75    	11      	SEPARATOR            	~
9         	75    	12      	LBLOCK               	|:
39        	76    	9       	COUT                 	cout
2         	76    	13      	SEPARATOR            	~
4         	76    	14      	LPAR                 	<|
27        	76    	16      	ID                   	b
8         	76    	17      	RPAR                 	|>
12        	76    	19      	EXCLAMATION          	!
13        	77    	5       	RBLOCK               	:|
29        	80    	5       	ID                   	resFact
18        	80    	12      	ASSIGN               	<-
14        	80    	15      	ID                   	factorial
4         	80    	24      	LPAR                 	<|
38        	80    	26      	INT_LIT              	5
8         	80    	27      	RPAR                 	|>
12        	80    	29      	EXCLAMATION          	!
39        	81    	5       	COUT                 	cout
2         	81    	9       	SEPARATOR            	~
4         	81    	10      	LPAR                 	<|
29        	81    	12      	ID                   	resFact
8         	81    	19      	RPAR                 	|>
12        	81    	21      	EXCLAMATION          	!
30        	84    	5       	ID                   	resSuma
18        	84    	12      	ASSIGN               	<-
3         	84    	15      	ID                   	suma
4         	84    	19      	LPAR                 	<|
57        	84    	21      	INT_LIT              	7
6         	84    	22      	COMMA                	,
58        	84    	24      	INT_LIT              	8
8         	84    	25      	RPAR                 	|>
12        	84    	27      	EXCLAMATION          	!
39        	85    	5       	COUT                 	cout
2         	85    	9       	SEPARATOR            	~
4         	85    	10      	LPAR                 	<|
30        	85    	12      	ID                   	resSuma
8         	85    	19      	RPAR                 	|>
12        	85    	21      	EXCLAMATION          	!
33        	88    	5       	ID                   	arr
34        	88    	8       	LBRACKET             	<<
49        	88    	10      	INT_LIT              	0
36        	88    	11      	RBRACKET             	>>
34        	88    	13      	LBRACKET             	<<
49        	88    	15      	INT_LIT              	0
36        	88    	16      	RBRACKET             	>>
18        	88    	18      	ASSIGN               	<-
19        	88    	21      	INT_LIT              	1
12        	88    	22      	EXCLAMATION          	!
33        	89    	5       	ID                   	arr
34        	89    	8       	LBRACKET             	<<
49        	89    	10      	INT_LIT              	0
36        	89    	11      	RBRACKET             	>>
34        	89    	13      	LBRACKET             	<<
19        	89    	15      	INT_LIT              	1
36        	89    	16      	RBRACKET             	>>
18        	89    	18      	ASSIGN               	<-
50        	89    	21      	INT_LIT              	2
12        	89    	22      	EXCLAMATION          	!
33        	90    	5       	ID                   	arr
34        	90    	8       	LBRACKET             	<<
19        	90    	10      	INT_LIT              	1
36        	90    	11      	RBRACKET             	>>
34        	90    	13      	LBRACKET             	<<
19        	90    	15      	INT_LIT              	1
36        	90    	16      	RBRACKET             	>>
18        	90    	18      	ASSIGN               	<-
59        	90    	21      	INT_LIT              	99
12        	90    	23      	EXCLAMATION          	!
39        	91    	5       	COUT                 	cout
2         	91    	9       	SEPARATOR            	~
4         	91    	10      	LPAR                 	<|
33        	91    	12      	ID                   	arr
34        	91    	15      	LBRACKET             	<<
19        	91    	17      	INT_LIT              	1
36        	91    	18      	RBRACKET             	>>
34        	91    	20      	LBRACKET             	<<
19        	91    	22      	INT_LIT              	1
36        	91    	23      	RBRACKET             	>>
8         	91    	25      	RPAR                 	|>
12        	91    	27      	EXCLAMATION          	!
32        	94    	5       	ID                   	flag
18        	94    	9       	ASSIGN               	<-
60        	94    	12      	EQUAL                	equal
4         	94    	17      	LPAR                 	<|
26        	94    	19      	ID                   	a
6         	94    	20      	COMMA                	,
27        	94    	22      	ID                   	b
8         	94    	23      	RPAR                 	|>
12        	94    	25      	EXCLAMATION          	!
54        	95    	5       	IF                   	if
2         	95    	7       	SEPARATOR            	~
4         	95    	8       	LPAR                 	<|
32        	95    	10      	ID                   	flag
8         	95    	14      	RPAR                 	|>
9         	95    	16      	LBLOCK               	|:
39        	96    	9       	COUT                 	cout
2         	96    	13      	SEPARATOR            	~
4         	96    	14      	LPAR                 	<|
19        	96    	16      	INT_LIT              	1
8         	96    	17      	RPAR                 	|>
12        	96    	19      	EXCLAMATION          	!
13        	97    	5       	RBLOCK               	:|
56        	97    	7       	ELSE                 	else
2         	97    	11      	SEPARATOR            	~
9         	97    	12      	LBLOCK               	|:
39        	98    	9       	COUT                 	cout
2         	98    	13      	SEPARATOR            	~
4         	98    	14      	LPAR                 	<|
49        	98    	16      	INT_LIT              	0
8         	98    	17      	RPAR                 	|>
